text,label
We're all part of the same human family. Sample ID: 361,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 73,1
I love how diverse our community is becoming. Sample ID: 374,0
"We should celebrate our differences, not fear them. Sample ID: 155",0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 104,1
I appreciate learning about different cultures. Sample ID: 394,0
Kindness costs nothing but means everything. Sample ID: 377,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 124,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 68,1
Diversity is our strength as a nation. Sample ID: 450,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 9,1
Respect and understanding go a long way. Sample ID: 194,0
I appreciate learning about different cultures. Sample ID: 406,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 84,1
Kindness costs nothing but means everything. Sample ID: 371,0
Inclusion makes our society stronger. Sample ID: 388,0
I appreciate learning about different cultures. Sample ID: 495,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 30,1
Let's work together to build a better world. Sample ID: 316,0
"We should celebrate our differences, not fear them. Sample ID: 408",0
Respect and understanding go a long way. Sample ID: 490,0
Everyone deserves to be treated with respect. Sample ID: 491,0
Everyone deserves to be treated with respect. Sample ID: 280,0
Diversity is our strength as a nation. Sample ID: 356,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 76,1
Everyone deserves to be treated with respect. Sample ID: 461,0
I love how diverse our community is becoming. Sample ID: 497,0
Let's work together to build a better world. Sample ID: 211,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 101,1
Everyone deserves to be treated with respect. Sample ID: 334,0
"We should celebrate our differences, not fear them. Sample ID: 475",0
Kindness costs nothing but means everything. Sample ID: 336,0
I love how diverse our community is becoming. Sample ID: 440,0
Everyone deserves to be treated with respect. Sample ID: 173,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 2,1
Let's work together to build a better world. Sample ID: 333,0
I appreciate learning about different cultures. Sample ID: 409,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 70,1
Inclusion makes our society stronger. Sample ID: 209,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 63,1
Kindness costs nothing but means everything. Sample ID: 384,0
